model,optimizer,target,best_params,accuracy,precision,recall,f1_score,roc_auc,data_source
LogisticRegression,RandomizedSearchCV,is_IC50_above_median,"{'C': np.float64(0.10778765841014329), 'penalty': 'l2', 'solver': 'liblinear'}",0.6915422885572139,0.6696428571428571,0.75,0.7075471698113207,0.7526237623762376,PCA Aggregated
RandomForestClassifier,RandomizedSearchCV,is_IC50_above_median,"{'max_depth': None, 'min_samples_split': 6, 'n_estimators': 149}",0.7114427860696517,0.6810344827586207,0.79,0.7314814814814815,0.782920792079208,PCA Aggregated
XGBClassifier,RandomizedSearchCV,is_IC50_above_median,"{'learning_rate': np.float64(0.06923222772633546), 'max_depth': 5, 'n_estimators': 130, 'subsample': np.float64(0.9134025858245949), 'use_label_encoder': False}",0.6915422885572139,0.6666666666666666,0.76,0.7102803738317757,0.7816336633663367,PCA Aggregated
CatBoostClassifier,RandomizedSearchCV,is_IC50_above_median,"{'depth': 7, 'iterations': 152, 'l2_leaf_reg': np.float64(4.120829269975138), 'learning_rate': np.float64(0.02499623737270043)}",0.7213930348258707,0.6929824561403509,0.79,0.7383177570093458,0.7942079207920792,PCA Aggregated
MLPClassifier,RandomizedSearchCV,is_IC50_above_median,"{'alpha': np.float64(0.004141986740582306), 'hidden_layer_sizes': (50,), 'learning_rate_init': np.float64(0.00017983126110107097)}",0.6915422885572139,0.6727272727272727,0.74,0.7047619047619048,0.7602475247524753,PCA Aggregated
LogisticRegression,GridSearchCV,is_IC50_above_median,"{'C': 0.1, 'penalty': 'l1', 'solver': 'liblinear'}",0.6716417910447762,0.6491228070175439,0.74,0.6915887850467289,0.7543069306930692,PCA Aggregated
RandomForestClassifier,GridSearchCV,is_IC50_above_median,"{'max_depth': 10, 'n_estimators': 150}",0.7164179104477612,0.680672268907563,0.81,0.7397260273972602,0.7827227722772276,PCA Aggregated
XGBClassifier,GridSearchCV,is_IC50_above_median,"{'learning_rate': 0.05, 'max_depth': 5, 'n_estimators': 150, 'use_label_encoder': False}",0.7313432835820896,0.7053571428571429,0.79,0.7452830188679245,0.7873762376237623,PCA Aggregated
CatBoostClassifier,GridSearchCV,is_IC50_above_median,"{'depth': 5, 'iterations': 100, 'learning_rate': 0.05}",0.7164179104477612,0.6936936936936937,0.77,0.7298578199052133,0.7832178217821782,PCA Aggregated
MLPClassifier,GridSearchCV,is_IC50_above_median,"{'alpha': 0.0001, 'hidden_layer_sizes': (50,)}",0.7164179104477612,0.680672268907563,0.81,0.7397260273972602,0.7571782178217822,PCA Aggregated
RandomForestClassifier,Optuna,is_IC50_above_median,"{'n_estimators': 128, 'max_depth': 15, 'min_samples_split': 8}",0.6965174129353234,0.6666666666666666,0.78,0.7188940092165899,0.7804455445544554,PCA Aggregated
XGBClassifier,Optuna,is_IC50_above_median,"{'n_estimators': 192, 'learning_rate': 0.02677792603434852, 'max_depth': 8, 'subsample': 0.7053885626844458}",0.6965174129353234,0.6666666666666666,0.78,0.7188940092165899,0.7756930693069307,PCA Aggregated
CatBoostClassifier,Optuna,is_IC50_above_median,"{'iterations': 177, 'learning_rate': 0.04346007084668783, 'depth': 8, 'l2_leaf_reg': 0.3355835056709216}",0.7213930348258707,0.6833333333333333,0.82,0.7454545454545455,0.7923267326732674,PCA Aggregated
MLPClassifier,Optuna,is_IC50_above_median,"{'hidden_layer_sizes': (50,), 'alpha': 0.0021637654380683886, 'learning_rate_init': 0.00018361962273530524}",0.7164179104477612,0.6776859504132231,0.82,0.7420814479638009,0.7743069306930693,PCA Aggregated
LogisticRegression,RandomizedSearchCV,is_IC50_above_median,"{'C': np.float64(0.10778765841014329), 'penalty': 'l2', 'solver': 'liblinear'}",0.6965174129353234,0.6756756756756757,0.75,0.7109004739336493,0.7544059405940594,Manual Aggregated
RandomForestClassifier,RandomizedSearchCV,is_IC50_above_median,"{'max_depth': 10, 'min_samples_split': 5, 'n_estimators': 70}",0.7164179104477612,0.6936936936936937,0.77,0.7298578199052133,0.7718316831683169,Manual Aggregated
XGBClassifier,RandomizedSearchCV,is_IC50_above_median,"{'learning_rate': np.float64(0.06923222772633546), 'max_depth': 5, 'n_estimators': 130, 'subsample': np.float64(0.9134025858245949), 'use_label_encoder': False}",0.6716417910447762,0.6545454545454545,0.72,0.6857142857142857,0.7719306930693068,Manual Aggregated
CatBoostClassifier,RandomizedSearchCV,is_IC50_above_median,"{'depth': 5, 'iterations': 130, 'l2_leaf_reg': np.float64(2.8114598712001184), 'learning_rate': np.float64(0.10937834265309729)}",0.6915422885572139,0.6637931034482759,0.77,0.7129629629629629,0.7843069306930693,Manual Aggregated
MLPClassifier,RandomizedSearchCV,is_IC50_above_median,"{'alpha': np.float64(0.004141986740582306), 'hidden_layer_sizes': (50,), 'learning_rate_init': np.float64(0.00017983126110107097)}",0.7512437810945274,0.7403846153846154,0.77,0.7549019607843137,0.7793564356435643,Manual Aggregated
LogisticRegression,GridSearchCV,is_IC50_above_median,"{'C': 0.1, 'penalty': 'l1', 'solver': 'liblinear'}",0.6716417910447762,0.6491228070175439,0.74,0.6915887850467289,0.7542079207920792,Manual Aggregated
RandomForestClassifier,GridSearchCV,is_IC50_above_median,"{'max_depth': 10, 'n_estimators': 150}",0.7064676616915423,0.6814159292035398,0.77,0.7230046948356808,0.7767821782178218,Manual Aggregated
XGBClassifier,GridSearchCV,is_IC50_above_median,"{'learning_rate': 0.05, 'max_depth': 5, 'n_estimators': 100, 'use_label_encoder': False}",0.7164179104477612,0.7009345794392523,0.75,0.7246376811594203,0.7801485148514852,Manual Aggregated
CatBoostClassifier,GridSearchCV,is_IC50_above_median,"{'depth': 5, 'iterations': 150, 'learning_rate': 0.05}",0.6965174129353234,0.6756756756756757,0.75,0.7109004739336493,0.7894554455445545,Manual Aggregated
MLPClassifier,GridSearchCV,is_IC50_above_median,"{'alpha': 0.0001, 'hidden_layer_sizes': (50,)}",0.7114427860696517,0.6909090909090909,0.76,0.7238095238095238,0.7654950495049505,Manual Aggregated
RandomForestClassifier,Optuna,is_IC50_above_median,"{'n_estimators': 163, 'max_depth': 10, 'min_samples_split': 5}",0.7164179104477612,0.6837606837606838,0.8,0.7373271889400922,0.7843069306930693,Manual Aggregated
XGBClassifier,Optuna,is_IC50_above_median,"{'n_estimators': 95, 'learning_rate': 0.01302780710309028, 'max_depth': 7, 'subsample': 0.8320457481218804}",0.7064676616915423,0.6814159292035398,0.77,0.7230046948356808,0.7686633663366337,Manual Aggregated
CatBoostClassifier,Optuna,is_IC50_above_median,"{'iterations': 180, 'learning_rate': 0.06095132358974338, 'depth': 7, 'l2_leaf_reg': 9.728583151931055}",0.7114427860696517,0.6842105263157895,0.78,0.7289719626168224,0.7803465346534654,Manual Aggregated
MLPClassifier,Optuna,is_IC50_above_median,"{'hidden_layer_sizes': (50, 50), 'alpha': 0.006584106160121612, 'learning_rate_init': 0.006161049539380964}",0.6865671641791045,0.6554621848739496,0.78,0.7123287671232876,0.7360891089108911,Manual Aggregated
LogisticRegression,RandomizedSearchCV,is_CC50_above_median,"{'C': np.float64(0.10778765841014329), 'penalty': 'l2', 'solver': 'liblinear'}",0.7164179104477612,0.6869565217391305,0.79,0.7348837209302326,0.8155445544554456,PCA Aggregated
RandomForestClassifier,RandomizedSearchCV,is_CC50_above_median,"{'max_depth': 5, 'min_samples_split': 6, 'n_estimators': 152}",0.7263681592039801,0.68,0.85,0.7555555555555555,0.8262376237623763,PCA Aggregated
XGBClassifier,RandomizedSearchCV,is_CC50_above_median,"{'learning_rate': np.float64(0.03479004085945037), 'max_depth': 3, 'n_estimators': 120, 'subsample': np.float64(0.8270204442119109), 'use_label_encoder': False}",0.681592039800995,0.6578947368421053,0.75,0.7009345794392523,0.813069306930693,PCA Aggregated
CatBoostClassifier,RandomizedSearchCV,is_CC50_above_median,"{'depth': 6, 'iterations': 63, 'l2_leaf_reg': np.float64(6.090903970994946), 'learning_rate': np.float64(0.058981115320875306)}",0.6915422885572139,0.6666666666666666,0.76,0.7102803738317757,0.8203960396039605,PCA Aggregated
MLPClassifier,RandomizedSearchCV,is_CC50_above_median,"{'alpha': np.float64(0.0031592644736118973), 'hidden_layer_sizes': (100,), 'learning_rate_init': np.float64(0.0003333283160680771)}",0.736318407960199,0.7079646017699115,0.8,0.7511737089201878,0.8428712871287128,PCA Aggregated
LogisticRegression,GridSearchCV,is_CC50_above_median,"{'C': 0.1, 'penalty': 'l1', 'solver': 'liblinear'}",0.6965174129353234,0.6638655462184874,0.79,0.7214611872146118,0.7871782178217822,PCA Aggregated
RandomForestClassifier,GridSearchCV,is_CC50_above_median,"{'max_depth': 5, 'n_estimators': 150}",0.7412935323383084,0.6935483870967742,0.86,0.7678571428571429,0.8314851485148514,PCA Aggregated
XGBClassifier,GridSearchCV,is_CC50_above_median,"{'learning_rate': 0.05, 'max_depth': 5, 'n_estimators': 100, 'use_label_encoder': False}",0.6766169154228856,0.6495726495726496,0.76,0.7004608294930875,0.8243564356435643,PCA Aggregated
CatBoostClassifier,GridSearchCV,is_CC50_above_median,"{'depth': 3, 'iterations': 150, 'learning_rate': 0.05}",0.7064676616915423,0.6722689075630253,0.8,0.730593607305936,0.8217326732673268,PCA Aggregated
MLPClassifier,GridSearchCV,is_CC50_above_median,"{'alpha': 0.001, 'hidden_layer_sizes': (100,)}",0.7412935323383084,0.7142857142857143,0.8,0.7547169811320755,0.8371287128712871,PCA Aggregated
RandomForestClassifier,Optuna,is_CC50_above_median,"{'n_estimators': 191, 'max_depth': 5, 'min_samples_split': 2}",0.7263681592039801,0.6829268292682927,0.84,0.7533632286995515,0.830049504950495,PCA Aggregated
XGBClassifier,Optuna,is_CC50_above_median,"{'n_estimators': 170, 'learning_rate': 0.023852634775550646, 'max_depth': 4, 'subsample': 0.772019974941596}",0.6766169154228856,0.6470588235294118,0.77,0.7031963470319634,0.8254455445544554,PCA Aggregated
CatBoostClassifier,Optuna,is_CC50_above_median,"{'iterations': 118, 'learning_rate': 0.0838375512850209, 'depth': 4, 'l2_leaf_reg': 0.34890188454913873}",0.7114427860696517,0.6810344827586207,0.79,0.7314814814814815,0.8471287128712871,PCA Aggregated
MLPClassifier,Optuna,is_CC50_above_median,"{'hidden_layer_sizes': (100,), 'alpha': 0.0002381564889389138, 'learning_rate_init': 0.0002447242512480675}",0.7114427860696517,0.6810344827586207,0.79,0.7314814814814815,0.8388118811881187,PCA Aggregated
LogisticRegression,RandomizedSearchCV,is_CC50_above_median,"{'C': np.float64(0.10778765841014329), 'penalty': 'l2', 'solver': 'liblinear'}",0.7263681592039801,0.6991150442477876,0.79,0.7417840375586855,0.8192079207920793,Manual Aggregated
RandomForestClassifier,RandomizedSearchCV,is_CC50_above_median,"{'max_depth': 5, 'min_samples_split': 6, 'n_estimators': 152}",0.7412935323383084,0.6967213114754098,0.85,0.7657657657657657,0.827970297029703,Manual Aggregated
XGBClassifier,RandomizedSearchCV,is_CC50_above_median,"{'learning_rate': np.float64(0.03479004085945037), 'max_depth': 3, 'n_estimators': 120, 'subsample': np.float64(0.8270204442119109), 'use_label_encoder': False}",0.6716417910447762,0.6440677966101694,0.76,0.6972477064220184,0.8161386138613862,Manual Aggregated
CatBoostClassifier,RandomizedSearchCV,is_CC50_above_median,"{'depth': 5, 'iterations': 137, 'l2_leaf_reg': np.float64(3.335960277973153), 'learning_rate': np.float64(0.031430022688291114)}",0.7263681592039801,0.6956521739130435,0.8,0.7441860465116279,0.8347029702970298,Manual Aggregated
MLPClassifier,RandomizedSearchCV,is_CC50_above_median,"{'alpha': np.float64(0.004141986740582306), 'hidden_layer_sizes': (50,), 'learning_rate_init': np.float64(0.00017983126110107097)}",0.6915422885572139,0.6696428571428571,0.75,0.7075471698113207,0.830990099009901,Manual Aggregated
LogisticRegression,GridSearchCV,is_CC50_above_median,"{'C': 0.1, 'penalty': 'l1', 'solver': 'liblinear'}",0.6865671641791045,0.6608695652173913,0.76,0.7069767441860465,0.7915841584158415,Manual Aggregated
RandomForestClassifier,GridSearchCV,is_CC50_above_median,"{'max_depth': 5, 'n_estimators': 150}",0.7512437810945274,0.7016129032258065,0.87,0.7767857142857143,0.8312871287128712,Manual Aggregated
XGBClassifier,GridSearchCV,is_CC50_above_median,"{'learning_rate': 0.05, 'max_depth': 5, 'n_estimators': 100, 'use_label_encoder': False}",0.6865671641791045,0.6728971962616822,0.72,0.6956521739130435,0.8239603960396039,Manual Aggregated
CatBoostClassifier,GridSearchCV,is_CC50_above_median,"{'depth': 3, 'iterations': 150, 'learning_rate': 0.05}",0.7164179104477612,0.6776859504132231,0.82,0.7420814479638009,0.8159405940594059,Manual Aggregated
MLPClassifier,GridSearchCV,is_CC50_above_median,"{'alpha': 0.001, 'hidden_layer_sizes': (100,)}",0.7313432835820896,0.7090909090909091,0.78,0.7428571428571429,0.8334653465346534,Manual Aggregated
RandomForestClassifier,Optuna,is_CC50_above_median,"{'n_estimators': 106, 'max_depth': 5, 'min_samples_split': 3}",0.7213930348258707,0.6746031746031746,0.85,0.7522123893805309,0.8348514851485148,Manual Aggregated
XGBClassifier,Optuna,is_CC50_above_median,"{'n_estimators': 175, 'learning_rate': 0.01777174904859463, 'max_depth': 4, 'subsample': 0.7550213529560301}",0.6766169154228856,0.6548672566371682,0.74,0.6948356807511737,0.821881188118812,Manual Aggregated
CatBoostClassifier,Optuna,is_CC50_above_median,"{'iterations': 106, 'learning_rate': 0.05786097596580467, 'depth': 5, 'l2_leaf_reg': 0.7451617972708862}",0.6965174129353234,0.6638655462184874,0.79,0.7214611872146118,0.8383168316831683,Manual Aggregated
MLPClassifier,Optuna,is_CC50_above_median,"{'hidden_layer_sizes': (100,), 'alpha': 0.00028674015157718663, 'learning_rate_init': 0.0002727138331484171}",0.7313432835820896,0.7053571428571429,0.79,0.7452830188679245,0.8336633663366336,Manual Aggregated
LogisticRegression,RandomizedSearchCV,is_SI_above_median,"{'C': np.float64(0.6641157902710025), 'penalty': 'l2', 'solver': 'liblinear'}",0.5920398009950248,0.5882352941176471,0.6,0.594059405940594,0.6527227722772276,PCA Aggregated
RandomForestClassifier,RandomizedSearchCV,is_SI_above_median,"{'max_depth': 10, 'min_samples_split': 6, 'n_estimators': 138}",0.6268656716417911,0.654320987654321,0.53,0.585635359116022,0.696881188118812,PCA Aggregated
XGBClassifier,RandomizedSearchCV,is_SI_above_median,"{'learning_rate': np.float64(0.05214017645310712), 'max_depth': 6, 'n_estimators': 90, 'subsample': np.float64(0.7888820517112247), 'use_label_encoder': False}",0.6268656716417911,0.6404494382022472,0.57,0.6031746031746031,0.6686633663366337,PCA Aggregated
CatBoostClassifier,RandomizedSearchCV,is_SI_above_median,"{'depth': 7, 'iterations': 73, 'l2_leaf_reg': np.float64(3.497273286855125), 'learning_rate': np.float64(0.05214017645310712)}",0.6616915422885572,0.6951219512195121,0.57,0.6263736263736264,0.7004455445544554,PCA Aggregated
MLPClassifier,RandomizedSearchCV,is_SI_above_median,"{'alpha': np.float64(0.004141986740582306), 'hidden_layer_sizes': (50,), 'learning_rate_init': np.float64(0.00017983126110107097)}",0.6069651741293532,0.5981308411214953,0.64,0.6183574879227053,0.6717326732673268,PCA Aggregated
LogisticRegression,GridSearchCV,is_SI_above_median,"{'C': 10.0, 'penalty': 'l1', 'solver': 'liblinear'}",0.6169154228855721,0.6095238095238096,0.64,0.624390243902439,0.651039603960396,PCA Aggregated
RandomForestClassifier,GridSearchCV,is_SI_above_median,"{'max_depth': 10, 'n_estimators': 150}",0.6318407960199005,0.6547619047619048,0.55,0.5978260869565217,0.6986633663366336,PCA Aggregated
XGBClassifier,GridSearchCV,is_SI_above_median,"{'learning_rate': 0.05, 'max_depth': 5, 'n_estimators': 100, 'use_label_encoder': False}",0.6268656716417911,0.6344086021505376,0.59,0.6113989637305699,0.6708415841584158,PCA Aggregated
CatBoostClassifier,GridSearchCV,is_SI_above_median,"{'depth': 5, 'iterations': 100, 'learning_rate': 0.1}",0.6467661691542289,0.6666666666666666,0.58,0.6203208556149733,0.695990099009901,PCA Aggregated
MLPClassifier,GridSearchCV,is_SI_above_median,"{'alpha': 0.0001, 'hidden_layer_sizes': (50,)}",0.582089552238806,0.5769230769230769,0.6,0.5882352941176471,0.6261881188118812,PCA Aggregated
RandomForestClassifier,Optuna,is_SI_above_median,"{'n_estimators': 161, 'max_depth': 10, 'min_samples_split': 8}",0.6368159203980099,0.6666666666666666,0.54,0.5966850828729282,0.6936138613861386,PCA Aggregated
XGBClassifier,Optuna,is_SI_above_median,"{'n_estimators': 139, 'learning_rate': 0.011340440501807348, 'max_depth': 6, 'subsample': 0.7511572371061874}",0.6616915422885572,0.686046511627907,0.59,0.6344086021505376,0.7087623762376238,PCA Aggregated
CatBoostClassifier,Optuna,is_SI_above_median,"{'iterations': 116, 'learning_rate': 0.048233485066778804, 'depth': 7, 'l2_leaf_reg': 2.6385557654697687}",0.6716417910447762,0.7023809523809523,0.59,0.6413043478260869,0.707970297029703,PCA Aggregated
MLPClassifier,Optuna,is_SI_above_median,"{'hidden_layer_sizes': (100, 50), 'alpha': 0.0008322724281704743, 'learning_rate_init': 0.00011952270129143859}",0.5970149253731343,0.5871559633027523,0.64,0.6124401913875598,0.6428217821782178,PCA Aggregated
LogisticRegression,RandomizedSearchCV,is_SI_above_median,"{'C': np.float64(0.10778765841014329), 'penalty': 'l2', 'solver': 'liblinear'}",0.6069651741293532,0.6153846153846154,0.56,0.5863874345549738,0.6615346534653466,Manual Aggregated
RandomForestClassifier,RandomizedSearchCV,is_SI_above_median,"{'max_depth': None, 'min_samples_split': 7, 'n_estimators': 102}",0.6318407960199005,0.6511627906976745,0.56,0.6021505376344086,0.6808415841584159,Manual Aggregated
XGBClassifier,RandomizedSearchCV,is_SI_above_median,"{'learning_rate': np.float64(0.058981115320875306), 'max_depth': 6, 'n_estimators': 89, 'subsample': np.float64(0.9533601546034454), 'use_label_encoder': False}",0.6268656716417911,0.6262626262626263,0.62,0.6231155778894473,0.6693564356435644,Manual Aggregated
CatBoostClassifier,RandomizedSearchCV,is_SI_above_median,"{'depth': 7, 'iterations': 152, 'l2_leaf_reg': np.float64(4.120829269975138), 'learning_rate': np.float64(0.02499623737270043)}",0.6567164179104478,0.7123287671232876,0.52,0.6011560693641619,0.705990099009901,Manual Aggregated
MLPClassifier,RandomizedSearchCV,is_SI_above_median,"{'alpha': np.float64(0.0031592644736118973), 'hidden_layer_sizes': (100,), 'learning_rate_init': np.float64(0.0003333283160680771)}",0.6119402985074627,0.6057692307692307,0.63,0.6176470588235294,0.6444059405940594,Manual Aggregated
LogisticRegression,GridSearchCV,is_SI_above_median,"{'C': 10.0, 'penalty': 'l2', 'solver': 'liblinear'}",0.5970149253731343,0.5904761904761905,0.62,0.6048780487804878,0.6443069306930693,Manual Aggregated
RandomForestClassifier,GridSearchCV,is_SI_above_median,"{'max_depth': 10, 'n_estimators': 150}",0.6268656716417911,0.6506024096385542,0.54,0.5901639344262295,0.6774752475247525,Manual Aggregated
XGBClassifier,GridSearchCV,is_SI_above_median,"{'learning_rate': 0.05, 'max_depth': 5, 'n_estimators': 100, 'use_label_encoder': False}",0.6417910447761194,0.6521739130434783,0.6,0.625,0.6729207920792079,Manual Aggregated
CatBoostClassifier,GridSearchCV,is_SI_above_median,"{'depth': 5, 'iterations': 100, 'learning_rate': 0.1}",0.6218905472636815,0.6428571428571429,0.54,0.5869565217391305,0.7103960396039605,Manual Aggregated
MLPClassifier,GridSearchCV,is_SI_above_median,"{'alpha': 0.001, 'hidden_layer_sizes': (50,)}",0.5671641791044776,0.5643564356435643,0.57,0.5671641791044776,0.617970297029703,Manual Aggregated
RandomForestClassifier,Optuna,is_SI_above_median,"{'n_estimators': 141, 'max_depth': None, 'min_samples_split': 7}",0.6567164179104478,0.6741573033707865,0.6,0.6349206349206349,0.6925247524752475,Manual Aggregated
XGBClassifier,Optuna,is_SI_above_median,"{'n_estimators': 75, 'learning_rate': 0.010080285742026148, 'max_depth': 7, 'subsample': 0.8190847203783641}",0.6368159203980099,0.6708860759493671,0.53,0.5921787709497207,0.6877722772277228,Manual Aggregated
CatBoostClassifier,Optuna,is_SI_above_median,"{'iterations': 115, 'learning_rate': 0.10643739208019755, 'depth': 8, 'l2_leaf_reg': 2.1000764775476966}",0.6069651741293532,0.6153846153846154,0.56,0.5863874345549738,0.6588613861386139,Manual Aggregated
MLPClassifier,Optuna,is_SI_above_median,"{'hidden_layer_sizes': (100,), 'alpha': 0.00022517617508191126, 'learning_rate_init': 0.0001021107250833947}",0.6019900497512438,0.6041666666666666,0.58,0.5918367346938775,0.6587623762376238,Manual Aggregated
LogisticRegression,RandomizedSearchCV,is_SI_above_8,"{'C': np.float64(0.10778765841014329), 'penalty': 'l2', 'solver': 'liblinear'}",0.7064676616915423,0.6,0.5416666666666666,0.5693430656934306,0.6902454780361756,PCA Aggregated
RandomForestClassifier,RandomizedSearchCV,is_SI_above_8,"{'max_depth': 10, 'min_samples_split': 3, 'n_estimators': 58}",0.7114427860696517,0.609375,0.5416666666666666,0.5735294117647058,0.7458010335917312,PCA Aggregated
XGBClassifier,RandomizedSearchCV,is_SI_above_8,"{'learning_rate': np.float64(0.12209801652060712), 'max_depth': 7, 'n_estimators': 73, 'subsample': np.float64(0.8070259980080767), 'use_label_encoder': False}",0.7064676616915423,0.5915492957746479,0.5833333333333334,0.5874125874125874,0.7258828596037897,PCA Aggregated
CatBoostClassifier,RandomizedSearchCV,is_SI_above_8,"{'depth': 7, 'iterations': 152, 'l2_leaf_reg': np.float64(4.120829269975138), 'learning_rate': np.float64(0.02499623737270043)}",0.7412935323383084,0.6785714285714286,0.5277777777777778,0.59375,0.7609819121447028,PCA Aggregated
MLPClassifier,RandomizedSearchCV,is_SI_above_8,"{'alpha': np.float64(0.0031592644736118973), 'hidden_layer_sizes': (100,), 'learning_rate_init': np.float64(0.0003333283160680771)}",0.6716417910447762,0.5384615384615384,0.5833333333333334,0.56,0.7105943152454781,PCA Aggregated
LogisticRegression,GridSearchCV,is_SI_above_8,"{'C': 0.1, 'penalty': 'l2', 'solver': 'liblinear'}",0.7064676616915423,0.6,0.5416666666666666,0.5693430656934306,0.6902454780361756,PCA Aggregated
RandomForestClassifier,GridSearchCV,is_SI_above_8,"{'max_depth': 10, 'n_estimators': 150}",0.7164179104477612,0.6190476190476191,0.5416666666666666,0.5777777777777777,0.740848406546081,PCA Aggregated
XGBClassifier,GridSearchCV,is_SI_above_8,"{'learning_rate': 0.05, 'max_depth': 5, 'n_estimators': 100, 'use_label_encoder': False}",0.7064676616915423,0.5970149253731343,0.5555555555555556,0.5755395683453237,0.7396640826873385,PCA Aggregated
CatBoostClassifier,GridSearchCV,is_SI_above_8,"{'depth': 5, 'iterations': 100, 'learning_rate': 0.05}",0.7263681592039801,0.6666666666666666,0.4722222222222222,0.5528455284552846,0.741817398794143,PCA Aggregated
MLPClassifier,GridSearchCV,is_SI_above_8,"{'alpha': 0.0001, 'hidden_layer_sizes': (100,)}",0.6766169154228856,0.5432098765432098,0.6111111111111112,0.5751633986928104,0.6962747631352282,PCA Aggregated
RandomForestClassifier,Optuna,is_SI_above_8,"{'n_estimators': 95, 'max_depth': 10, 'min_samples_split': 5}",0.7263681592039801,0.6349206349206349,0.5555555555555556,0.5925925925925926,0.739448751076658,PCA Aggregated
XGBClassifier,Optuna,is_SI_above_8,"{'n_estimators': 95, 'learning_rate': 0.01302780710309028, 'max_depth': 7, 'subsample': 0.8320457481218804}",0.7562189054726368,0.7346938775510204,0.5,0.5950413223140496,0.7451550387596899,PCA Aggregated
CatBoostClassifier,Optuna,is_SI_above_8,"{'iterations': 106, 'learning_rate': 0.13125830316209655, 'depth': 7, 'l2_leaf_reg': 0.6251373574521749}",0.6915422885572139,0.5714285714285714,0.5555555555555556,0.5633802816901409,0.7227605512489234,PCA Aggregated
MLPClassifier,Optuna,is_SI_above_8,"{'hidden_layer_sizes': (100,), 'alpha': 8.612579192594876e-05, 'learning_rate_init': 0.001096821720752952}",0.6915422885572139,0.5625,0.625,0.5921052631578947,0.7131782945736433,PCA Aggregated
LogisticRegression,RandomizedSearchCV,is_SI_above_8,"{'C': np.float64(0.10778765841014329), 'penalty': 'l2', 'solver': 'liblinear'}",0.7064676616915423,0.6,0.5416666666666666,0.5693430656934306,0.692829457364341,Manual Aggregated
RandomForestClassifier,RandomizedSearchCV,is_SI_above_8,"{'max_depth': None, 'min_samples_split': 7, 'n_estimators': 102}",0.7263681592039801,0.6349206349206349,0.5555555555555556,0.5925925925925926,0.7319121447028425,Manual Aggregated
XGBClassifier,RandomizedSearchCV,is_SI_above_8,"{'learning_rate': np.float64(0.12209801652060712), 'max_depth': 7, 'n_estimators': 73, 'subsample': np.float64(0.8070259980080767), 'use_label_encoder': False}",0.7263681592039801,0.6231884057971014,0.5972222222222222,0.6099290780141844,0.7300818260120586,Manual Aggregated
CatBoostClassifier,RandomizedSearchCV,is_SI_above_8,"{'depth': 7, 'iterations': 152, 'l2_leaf_reg': np.float64(4.120829269975138), 'learning_rate': np.float64(0.02499623737270043)}",0.746268656716418,0.6909090909090909,0.5277777777777778,0.5984251968503937,0.7370801033591732,Manual Aggregated
MLPClassifier,RandomizedSearchCV,is_SI_above_8,"{'alpha': np.float64(0.005016154429033941), 'hidden_layer_sizes': (50,), 'learning_rate_init': np.float64(0.0003322520635999886)}",0.681592039800995,0.5555555555555556,0.5555555555555556,0.5555555555555556,0.7089793281653746,Manual Aggregated
LogisticRegression,GridSearchCV,is_SI_above_8,"{'C': 0.1, 'penalty': 'l2', 'solver': 'liblinear'}",0.7014925373134329,0.5909090909090909,0.5416666666666666,0.5652173913043478,0.6925064599483203,Manual Aggregated
RandomForestClassifier,GridSearchCV,is_SI_above_8,"{'max_depth': 10, 'n_estimators': 100}",0.7213930348258707,0.6290322580645161,0.5416666666666666,0.582089552238806,0.7421403962101637,Manual Aggregated
XGBClassifier,GridSearchCV,is_SI_above_8,"{'learning_rate': 0.05, 'max_depth': 5, 'n_estimators': 150, 'use_label_encoder': False}",0.6965174129353234,0.5797101449275363,0.5555555555555556,0.5673758865248227,0.7407407407407407,Manual Aggregated
CatBoostClassifier,GridSearchCV,is_SI_above_8,"{'depth': 5, 'iterations': 100, 'learning_rate': 0.1}",0.7164179104477612,0.6190476190476191,0.5416666666666666,0.5777777777777777,0.7355727820844099,Manual Aggregated
MLPClassifier,GridSearchCV,is_SI_above_8,"{'alpha': 0.0001, 'hidden_layer_sizes': (100,)}",0.6915422885572139,0.5609756097560976,0.6388888888888888,0.5974025974025974,0.7167312661498708,Manual Aggregated
RandomForestClassifier,Optuna,is_SI_above_8,"{'n_estimators': 86, 'max_depth': None, 'min_samples_split': 8}",0.7164179104477612,0.6229508196721312,0.5277777777777778,0.5714285714285714,0.7327734711455641,Manual Aggregated
XGBClassifier,Optuna,is_SI_above_8,"{'n_estimators': 125, 'learning_rate': 0.03516162215880005, 'max_depth': 8, 'subsample': 0.7335928350994432}",0.7263681592039801,0.6268656716417911,0.5833333333333334,0.60431654676259,0.7474160206718347,Manual Aggregated
CatBoostClassifier,Optuna,is_SI_above_8,"{'iterations': 192, 'learning_rate': 0.028825693577590687, 'depth': 5, 'l2_leaf_reg': 0.01132102180423035}",0.7562189054726368,0.6949152542372882,0.5694444444444444,0.6259541984732825,0.7476313522825151,Manual Aggregated
MLPClassifier,Optuna,is_SI_above_8,"{'hidden_layer_sizes': (50, 50), 'alpha': 2.32335035153901e-05, 'learning_rate_init': 0.0009780337016659412}",0.6766169154228856,0.5432098765432098,0.6111111111111112,0.5751633986928104,0.7063953488372092,Manual Aggregated
